task_name,status,project_id,assigned_to
Couple weight this account institution car stop through.,Completed,7,64
South author tell seem defense common campaign.,Completed,14,27
Body none quality billion.,Pending,14,94
Mind dream guy before.,Pending,3,34
Spring war lot draw trip type purpose door.,Completed,10,100
Sort your door yard tree common build.,In Progress,18,19
Sea some military that successful go player.,In Progress,12,99
Strategy more offer include.,Completed,11,26
Shoulder leader some perhaps provide focus.,In Progress,19,21
Learn set sort arm power whose couple.,Completed,4,2
Long arm bank fast.,In Progress,13,51
Laugh school list say.,Pending,10,34
Way word boy price inside poor.,Pending,13,29
Opportunity reach west century onto let field yourself.,Completed,5,10
Dark room contain laugh do.,In Progress,2,31
Look difficult product address range out.,In Progress,15,4
Whatever important talk expert model bit candidate.,Completed,5,82
Well course according collection population student allow meet.,In Progress,1,96
Art site lawyer popular agency film.,Pending,18,36
Shoulder toward loss American seek eye than.,Pending,15,17
Someone police the truth participant.,In Progress,9,79
Ten tend stock thousand technology economy.,Completed,5,85
Quality office society face seek Democrat Mr.,Completed,20,27
Page tax central section wife field.,Pending,15,86
Floor rate fact stand event well.,Pending,9,51
However black little final ever movie.,Pending,5,58
Require case up president short if.,Completed,15,55
Step or structure card sign many truth.,In Progress,14,40
Answer song case that century ten.,In Progress,19,24
Door national build visit.,In Progress,19,96
With treatment quickly my technology consider sing.,In Progress,7,34
Cut marriage herself.,Pending,14,48
From cup treatment key base.,Completed,4,19
Reason box single public sometimes nothing though.,Completed,15,10
Traditional never always ok.,Pending,17,35
Him performance performance himself thousand continue statement those.,Completed,2,68
Write agency whom after.,In Progress,3,48
This often score admit reality want.,Completed,4,57
Me design tough instead bad feeling firm adult.,In Progress,7,24
Song ok live avoid issue business data.,Pending,18,98
Degree able skin environment source place situation.,Pending,13,46
Best hit hospital back sense economy.,In Progress,18,69
Indeed woman push little.,Completed,12,25
Sing million certainly end compare central run special.,Completed,11,94
National tree marriage.,Pending,3,99
Control significant whole benefit.,Pending,1,18
Protect action most serious heavy message.,Pending,15,34
Let action baby cause expert.,Completed,15,72
Too figure house suffer.,Pending,9,61
Phone leg leave agreement drop.,Completed,3,31
South sister entire each vote option support political.,Pending,10,5
Until thus once among number sort door.,In Progress,11,33
Add spring involve management across pretty.,Pending,3,98
Series happen quickly wrong may social.,In Progress,17,82
Western maintain long.,In Progress,2,63
Everything debate few economy bad.,Pending,17,96
Of office book common test general.,Pending,8,61
Home pick hard right single worry.,In Progress,1,45
Form bit stage statement.,In Progress,5,81
South tonight one why worker contain.,Pending,5,90
Response region nor share apply effect how contain.,Completed,19,15
Join reveal alone notice.,Completed,10,6
Successful challenge law.,Completed,2,35
Nice state policy figure follow one.,In Progress,5,99
Like huge camera away sell factor.,Completed,16,89
Program think fine decision.,Completed,11,67
Step official mind who color get thus.,Pending,10,56
Give least rest spring although tough.,Pending,19,51
Wife speech fill will.,Pending,2,70
Perhaps with stay many message always between fill.,Completed,14,70
Eye that my play democratic.,Completed,9,48
North too case magazine Congress same nearly across.,Pending,13,37
Front tend skill late sell strategy evening let.,Completed,15,26
All floor front place.,In Progress,7,85
Since leg data.,Completed,14,46
News not finish.,Pending,7,77
Doctor thus probably.,In Progress,19,71
Within behavior bank guy piece production road.,Pending,18,28
Effort relationship mouth hospital.,Pending,15,53
Require unit indicate none bed investment defense.,In Progress,5,60
Remain world notice model.,Pending,15,83
Than rather level soon part per challenge.,Pending,3,26
Would about heavy least out response billion.,Pending,11,95
Reflect last message challenge.,Pending,1,64
Rise feel college other analysis thus only.,In Progress,16,91
Fear job would.,In Progress,17,31
Most similar hit general bill him shake.,Pending,8,93
Food so adult low until north.,In Progress,4,85
Cut partner movement policy.,Pending,15,95
South add pattern.,In Progress,3,51
Challenge from practice miss.,Completed,8,71
Such officer often crime report sort.,Completed,19,7
Seek already even send them opportunity issue.,Pending,12,55
Reflect box war appear per design inside simply.,Pending,13,78
Debate hotel culture election those word.,In Progress,3,14
Watch expert defense imagine.,Completed,18,30
Politics rise west suddenly just see fast.,Completed,8,79
Next threat training power student prevent.,Pending,11,96
Conference early yes business relationship.,Completed,13,38
Recognize behavior strategy be senior.,Pending,8,7
Word black business whether.,Pending,4,56
Attention mention Republican pull listen.,Completed,3,36
Name report picture term perhaps.,Pending,1,85
Tree you year group PM community officer level.,In Progress,4,83
Protect situation stay unit describe there.,Pending,19,5
Teach language bad.,Pending,5,83
Itself ahead political simple miss blue attorney two.,In Progress,8,13
City house fund physical election minute visit.,In Progress,6,38
Officer tough rise reality back special.,In Progress,12,37
Cold various life dark.,In Progress,5,27
Approach director day.,In Progress,20,21
Accept remember most eye.,Completed,18,18
Rather others fire.,In Progress,20,88
Five fact budget improve husband.,Completed,20,3
Suffer company source sing suddenly whether.,Pending,12,30
Attorney sign build side how dark.,In Progress,6,6
Human instead camera.,Pending,14,55
Produce ask get environment book actually.,Pending,11,9
Great story everyone investment.,Pending,10,86
Provide hear adult human live after.,In Progress,4,28
Travel management into risk foreign clearly.,In Progress,3,25
Evidence share thought statement them model.,Pending,7,99
Describe provide individual.,Completed,8,63
Hour scene together.,Pending,5,93
Task level similar wall.,In Progress,14,42
Development today memory magazine.,Completed,14,65
Far new rich move.,Pending,5,47
Small professional tough safe.,In Progress,8,43
Be partner action build market.,In Progress,20,31
Fear cup heart movement down book nature share.,Completed,14,52
Some peace attention democratic eight.,Pending,14,12
Authority every service his tree.,Pending,19,99
Send interview coach.,Pending,17,71
Rise development education impact.,Completed,2,87
Start over pull also culture example call.,In Progress,16,52
Finally local especially enough moment choose.,In Progress,17,10
Cut agency common some than decide.,Pending,3,69
Someone determine lose world picture help.,Pending,19,7
Summer how benefit your price.,Completed,20,83
Little stuff decision choose do last seek without.,In Progress,9,37
Professor itself land hear special.,Pending,2,25
Case son show paper.,Pending,5,96
Purpose really high charge lawyer act.,Pending,15,34
Need skin like church.,Completed,7,63
Bill ahead again able care.,Completed,3,29
Or idea direction thousand politics art every.,In Progress,1,60
Answer training born.,Completed,17,90
Like middle support base table true.,Completed,6,91
Lose ability step less.,Pending,15,30
Administration agent treat side develop college.,Completed,7,43
Long everything system today same world spring easy.,Pending,19,55
Happy medical find.,Completed,11,27
Others why suddenly daughter church measure.,In Progress,11,92
Religious stop finally act especially daughter exactly offer.,In Progress,13,85
Compare dream degree car claim.,Completed,2,27
Respond keep challenge customer.,In Progress,12,68
Interview produce whatever spring according.,Completed,12,15
None might space which event maybe.,Completed,6,80
Operation newspaper way.,Completed,19,54
Task without run unit.,Pending,7,12
Just affect role although.,Completed,4,60
View scene wife hospital again everything far.,Pending,19,83
Will relationship performance food ever.,Completed,16,3
General simple school property music.,In Progress,19,48
Key artist exist really challenge rest job form.,In Progress,7,69
Stay yes financial parent number event magazine happen.,In Progress,10,29
Ok imagine house drop oil single.,Pending,5,5
Before son water can.,In Progress,4,75
Issue few fact several possible small base.,In Progress,12,21
New house magazine site policy enjoy.,Pending,8,52
Court morning mind suffer follow.,In Progress,7,85
Law effort science worker.,In Progress,5,77
None night collection those nor lot.,In Progress,4,23
Return common now foreign international.,Completed,1,98
Choose find network reflect white.,Completed,5,53
Treat window finish somebody campaign point whole.,Pending,8,50
Would star bar represent.,In Progress,15,85
Performance indicate maybe week phone.,In Progress,10,16
General school ready growth cover.,Pending,5,36
Star yeah can series real specific moment same.,In Progress,9,67
Site husband him goal spring into relationship.,In Progress,11,86
Draw today wall war.,In Progress,7,18
Get create break right.,Pending,8,3
Involve skin play.,Pending,11,38
Research protect foot career.,Completed,14,80
You defense ready growth with.,Pending,12,35
Result determine offer.,Pending,5,50
Boy human six career.,Pending,1,71
Life dream mean industry agreement.,In Progress,2,27
Dream partner power exist take form although.,Completed,13,17
Because natural citizen and page money art.,Pending,2,27
Project note American song should five any.,Pending,20,9
Avoid as leader total process account.,In Progress,12,9
Fly describe health relate protect want open.,Completed,11,63
Work financial even foreign president enter discussion.,In Progress,1,95
Federal fight race past force his.,Completed,4,72
Piece me player military cause green.,Completed,13,99
Under if step be according majority sing foot.,Pending,18,43
Feel town local low.,In Progress,3,74
Expect animal subject type.,Pending,20,91
